,lat,lon
504,37.7805788609,-122.471250259
505,37.7849124714,-122.408648589
506,37.7841847091,-122.418562097
507,37.7925067441,-122.409336466
508,37.7594884557,-122.417970955
509,37.7603453746,-122.416472035
510,37.7946646538,-122.404767636
511,37.7632161069,-122.419561596
512,37.722349838,-122.43217156
513,37.7752065367,-122.509644694
514,37.7596123169,-122.415921585
515,37.7578801214,-122.417955822
516,37.7605000726,-122.414845139
517,37.7854574903,-122.400916029
518,37.7854574903,-122.400916029
519,37.7854574903,-122.400916029
520,37.7854574903,-122.400916029
521,37.7854574903,-122.400916029
522,37.7854574903,-122.400916029
523,37.7854574903,-122.400916029
524,37.7854574903,-122.400916029
525,37.7854574903,-122.400916029
526,37.7854574903,-122.400916029
527,37.7854574903,-122.400916029
528,37.7854574903,-122.400916029
529,37.7854574903,-122.400916029
530,37.7854574903,-122.400916029
531,37.7854574903,-122.400916029
532,37.7619674218,-122.417180449
533,37.7912255174,-122.404195425
534,37.7897596938,-122.404828019
535,37.7571005796,-122.417812559
536,37.773641216,-122.421701514
537,37.7869881885,-122.410699658
538,37.7869881885,-122.410699658
539,37.7869881885,-122.410699658
540,37.7869881885,-122.410699658
541,37.7869881885,-122.410699658
542,37.7869881885,-122.410699658
543,37.7869881885,-122.410699658
544,37.7869881885,-122.410699658
545,37.7869881885,-122.410699658
546,37.7869881885,-122.410699658
547,37.7869881885,-122.410699658
548,37.7586968166,-122.417964484
549,37.7777528845,-122.472707845
550,37.7299346936,-122.397744427
551,37.7874861572,-122.418368839
552,37.7141051921,-122.439819027
553,37.7909162094,-122.392925908
554,37.7819788534,-122.439329635
555,37.7883351248,-122.416032977
556,37.7855804362,-122.412857127
557,37.793524904,-122.405396537
558,37.7184872987,-122.48390412
559,37.7586968166,-122.417964484
560,37.7854574903,-122.400916029
561,37.7612911364,-122.48503873
562,37.7612911364,-122.48503873
563,37.7612911364,-122.48503873
564,37.7612911364,-122.48503873
565,37.7612911364,-122.48503873
566,37.760301234,-122.418120086
567,37.7854574903,-122.400916029
568,37.7854574903,-122.400916029
569,37.7854574903,-122.400916029
570,37.7854574903,-122.400916029
571,37.7854574903,-122.400916029
572,37.7854574903,-122.400916029
573,37.7854574903,-122.400916029
574,37.7854574903,-122.400916029
575,37.7854574903,-122.400916029
576,37.7854574903,-122.400916029
577,37.7854574903,-122.400916029
578,37.7854574903,-122.400916029
579,37.7754207067,-122.403404791
580,37.7754207067,-122.403404791
581,37.754082245,-122.481309337
582,37.754082245,-122.481309337
583,37.7535477247,-122.49094436
584,37.7758429042,-122.495731177
585,37.7774104345,-122.461346511
586,37.7197169663,-122.468510801
587,37.7632996946,-122.421733768
588,37.7617306685,-122.47755034
589,37.7617306685,-122.47755034
590,37.7617306685,-122.47755034
591,37.7586968166,-122.417964484
592,37.7501922192,-122.504206336
593,37.7501922192,-122.504206336
594,37.7603656932,-122.417028392
595,37.7356506399,-122.448307079
596,37.7356506399,-122.448307079
597,37.7356506399,-122.448307079
598,37.7897596938,-122.404828019
599,37.7861493948,-122.417273345
600,37.7769551138,-122.417997608
601,37.7603454517,-122.506470086
602,37.7586968166,-122.417964484
603,37.7602340754,-122.41920825
604,37.7854574903,-122.400916029
605,37.7854574903,-122.400916029
606,37.7854574903,-122.400916029
607,37.7854574903,-122.400916029
608,37.7854574903,-122.400916029
609,37.7220290973,-122.401207222
610,37.7726948237,-122.422188261
611,37.788817004,-122.400816276
612,37.7684715664,-122.416708154
613,37.7684715664,-122.416708154
614,37.798715319,-122.403891536
615,37.7175091052,-122.386851784
616,37.787148808,-122.409876623
617,37.7773885566,-122.408550682
618,37.7773885566,-122.408550682
619,37.8056654685,-122.412782237
620,37.793524904,-122.405396537
621,37.7876109395,-122.414201442
622,37.7879136979,-122.419317324
623,37.7755496262,-122.502148729
624,37.7871979591,-122.409055191
625,37.7864094034,-122.408040475
626,37.7481664084,-122.418221946
627,37.7481664084,-122.418221946
628,37.7578801214,-122.417955822
629,37.7869408999,-122.41151882
630,37.787359495,-122.408231026
631,37.7862042105,-122.409686192
632,37.7917625984,-122.42243554
633,37.7582649135,-122.411569592
634,37.7582649135,-122.411569592
635,37.7147347357,-122.412457953
636,37.7854574903,-122.400916029
637,37.7854574903,-122.400916029
638,37.7854574903,-122.400916029
639,37.7854574903,-122.400916029
640,37.7854574903,-122.400916029
641,37.7854574903,-122.400916029
642,37.7854574903,-122.400916029
643,37.7594884557,-122.417970955
644,37.7602740352,-122.413797083
645,37.7899200015,-122.42206273
646,37.7899200015,-122.42206273
647,37.7899200015,-122.42206273
648,37.7899200015,-122.42206273
649,37.7899200015,-122.42206273
650,37.7899200015,-122.42206273
651,37.7899200015,-122.42206273
652,37.7899200015,-122.42206273
653,37.7899200015,-122.42206273
654,37.7899200015,-122.42206273
655,37.7899200015,-122.42206273
656,37.7899200015,-122.42206273
657,37.7899200015,-122.42206273
658,37.7899200015,-122.42206273
659,37.7899200015,-122.42206273
660,37.7899200015,-122.42206273
661,37.7899200015,-122.42206273
662,37.7899200015,-122.42206273
663,37.7899200015,-122.42206273
664,37.7899200015,-122.42206273
665,37.7899200015,-122.42206273
666,37.7571005796,-122.417812559
667,37.7636337703,-122.416230393
668,37.7874861572,-122.418368839
669,37.7636979309,-122.415155941
670,37.7626173569,-122.406173615
671,37.7588312135,-122.415781282
672,37.7918797837,-122.414270421
